Time       | x          | f(x)      
-----------------------------------
1          | 8.0000     | 64.0000   
2          | 6.4000     | 40.9600   
3          | 5.1200     | 26.2144   
4          | 4.0960     | 16.7772   
5          | 3.2768     | 10.7374   
6          | 2.6214     | 6.8719    
7          | 2.0972     | 4.3980    
8          | 1.6777     | 2.8147    
9          | 1.3422     | 1.8014    
10         | 1.0737     | 1.1529    
11         | 0.8590     | 0.7379    
12         | 0.6872     | 0.4722    
13         | 0.5498     | 0.3022    
14         | 0.4398     | 0.1934    
15         | 0.3518     | 0.1238    
16         | 0.2815     | 0.0792    
17         | 0.2252     | 0.0507    
18         | 0.1801     | 0.0325    
19         | 0.1441     | 0.0208    
20         | 0.1153     | 0.0133    
21         | 0.0922     | 0.0085    
